Timestamp,User,Speaker,Message
18:28:23,Rudra,You,hi
18:28:23,Rudra,Bot,Good Evening! Ready to chat? 🌆
18:28:25,Rudra,You,what is your creator
18:28:25,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:28:33,Rudra,You,who created you
18:28:33,Rudra,Bot,A genius coder brought me to life!
18:28:37,Rudra,You,tell me about you
18:28:37,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:28:44,Rudra,You,tell me about yourself
18:28:44,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:28:51,Rudra,You,tell about you
18:28:51,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:28:59,Rudra,You,tell me a joke
18:28:59,Rudra,Bot,Why was the math book sad? It had too many problems!
18:29:04,Rudra,You,capital of India
18:29:04,Rudra,Bot,"New Delhi, the heart of India!"
18:29:16,Rudra,You,what is Drdo
18:29:16,Rudra,Bot,DRDO stands for Defence Research and Development Organisation.
18:29:20,Rudra,Bot,A genius coder brought me to life!
18:29:20,Rudra,You,tell me about you
18:29:20,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:29:20,Rudra,You,tell me about yourself
18:29:20,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:29:20,Rudra,You,tell about you
18:29:20,Rudra,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
18:29:20,Rudra,You,tell me a joke
18:29:20,Rudra,Bot,Why was the math book sad? It had too many problems!
18:29:20,Rudra,You,capital of India
18:29:20,Rudra,Bot,"New Delhi, the heart of India!"
18:29:20,Rudra,You,what is Drdo
18:29:20,Rudra,Bot,DRDO stands for Defence Research and Development Organisation.
18:29:20,Rudra,You,exit
18:29:20,Rudra,Bot,"Chat ended. 😺 Oopsie, come back soon!"
19:09:20,Meenu,You,hi
19:09:20,Meenu,Bot,Hi! What's on your mind?
19:09:22,Meenu,You,who are you
19:09:22,Meenu,Bot,"Your digital pal, at your service!"
19:09:30,Meenu,You,what is your name
19:09:30,Meenu,Bot,Matched Question: whatsyourname. Response: Call me ChatBuddy!
19:09:35,Meenu,You,what is capital of France
19:09:35,Meenu,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
19:09:46,Meenu,You,what is ISRO
19:09:46,Meenu,Bot,ISRO: India's space agency!
19:09:51,Meenu,You,What is Astra
19:09:51,Meenu,Bot,"Matched Question: whatisar. Response: AR is augmented reality, overlaying digital info on the real world."
19:09:58,Meenu,You,Tell me NAtional animal of India
19:09:58,Meenu,Bot,"Matched Question: whatisthenationalanimalofindia. Response: Bengal Tiger, India's pride!"
19:10:21,Meenu,You,Tell me about National bird of India
19:10:21,Meenu,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
19:10:40,Meenu,You,National bird of India
19:10:40,Meenu,Bot,"Indian Peacock, vibrant and graceful!"
19:10:49,Meenu,You,NAtioanl amblem of India
19:10:49,Meenu,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
19:10:57,Meenu,You,what is capital of France
19:10:57,Meenu,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
19:10:57,Meenu,You,what is ISRO
19:10:57,Meenu,Bot,ISRO: India's space agency!
19:10:57,Meenu,You,What is Astra
19:10:57,Meenu,Bot,"Matched Question: whatisar. Response: AR is augmented reality, overlaying digital info on the real world."
19:10:57,Meenu,You,Tell me NAtional animal of India
19:10:57,Meenu,Bot,"Matched Question: whatisthenationalanimalofindia. Response: Bengal Tiger, India's pride!"
19:10:57,Meenu,You,Tell me about National bird of India
19:10:57,Meenu,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
19:10:57,Meenu,You,National bird of India
19:10:57,Meenu,Bot,"Indian Peacock, vibrant and graceful!"
19:10:57,Meenu,You,NAtioanl amblem of India
19:10:57,Meenu,Bot,"Didn't get that. Try a joke, quote, or game! 😺"
19:10:57,Meenu,You,exit
19:10:57,Meenu,Bot,"Chat ended. 😺 Oopsie, come back soon!"
19:06:47,Mayank,You,Hello
19:06:47,Mayank,Bot,Hello! How can I assist you today?
